sample_id,source_post_id,stratum,ai_drug_count,ai_drugs,ai_sentiments,ai_signal_strengths,keyword_match
irr-pilot-332,hjjrg63,ai_found_drug,1,psychiatric medical intervention,positive,moderate,no
irr-pilot-333,hj001w5,ai_found_drug,1,allergy meds,negative,strong,no
irr-pilot-334,hkeolpx,ai_found_drug,1,vaccine,negative,strong,no
irr-pilot-335,hk68isr,ai_found_drug,1,ibuprofen,positive,strong,yes
irr-pilot-336,hmm9xe8,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-337,hmu8678,ai_found_drug,1,pfizer vaccine,negative,strong,yes
irr-pilot-338,hkubpl8,no_ai_drug_random,0,,,,no
irr-pilot-339,hox2sr2,ai_found_drug,1,panic attack medication,negative,strong,yes
irr-pilot-340,hk3bsya,ai_found_drug,1,medication,positive,weak,no
irr-pilot-341,hlqkygd,ai_found_drug,1,miralax,positive,strong,no
irr-pilot-342,hplo4tr,no_ai_drug_random,0,,,,no
irr-pilot-343,hqgrrh6,no_ai_drug_random,0,,,,no
irr-pilot-344,hnmu5fx,ai_found_drug,1,bentyl,positive,strong,yes
irr-pilot-345,hk19p3j,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-346,hp2qnc1,no_ai_drug_random,0,,,,no
irr-pilot-347,hj1c74n,ai_found_drug,1,pfizer,positive,weak,no
irr-pilot-348,hq57fkf,ai_found_drug,1,nac,mixed,moderate,yes
irr-pilot-349,hq2js1y,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-350,hpc5iht,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-351,hlzlksn,no_ai_drug_random,0,,,,no
irr-pilot-352,hk48e4x,ai_found_drug,1,vaccine,negative,weak,no
irr-pilot-353,hkfq8qb,ai_found_drug,6,cordyceps|arginine|chamomile|ashwagandha|supplements|glutamine,positive|positive|positive|positive|positive|positive,weak|weak|weak|weak|moderate|weak,no
irr-pilot-354,hmugq9k,ai_found_drug,1,acupuncture,positive,strong,no
irr-pilot-355,hq1ty0f,ai_found_drug,1,rubber mouthguard,negative,strong,no
irr-pilot-356,hkz97sw,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-357,hq1n120,ai_found_drug,2,ibguard|peppermint oil,positive|positive,strong|strong,yes
irr-pilot-358,qrzr6n,ai_found_drug,1,clindamycin,negative,strong,no
irr-pilot-359,hpzhlri,no_ai_drug_random,0,,,,no
irr-pilot-360,reblr0,ai_found_drug,2,pneumonia treatment|pfizer vaccine,positive|positive,weak|strong,no
irr-pilot-361,hmyh12t,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-362,hl06vi8,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-363,hkyjs2m,ai_found_drug,1,local anesthetic,positive,strong,no
irr-pilot-364,hnhsrko,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-365,hk921fg,no_ai_drug_random,0,,,,no
irr-pilot-366,hlc540k,no_ai_drug_random,0,,,,no
irr-pilot-367,hnxbx8k,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-368,hpddhwz,ai_found_drug,1,alcohol,negative,strong,no
irr-pilot-369,hn02qa2,ai_found_drug,1,wellbutrin,positive,moderate,yes
irr-pilot-370,rirnle,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-371,hq9tip6,ai_found_drug,1,melatonin,positive,strong,yes
irr-pilot-372,qpdvjb,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-373,hp2nhjm,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-374,hk7ukfw,ai_found_drug,1,coq10,mixed,strong,yes
irr-pilot-375,hlltr1m,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-376,hjb8ekx,no_ai_drug_random,0,,,,no
irr-pilot-377,hq8llut,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-378,hmov5k9,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-379,houxltk,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-380,r47hhe,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-381,ho5f3ko,ai_found_drug,2,l-theanine|cbd,positive|positive,weak|strong,yes
irr-pilot-382,hjtzkba,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-383,hmgnajq,ai_found_drug,2,immune renew|andrographis,positive|positive,moderate|weak,no
irr-pilot-384,ho4vra7,ai_found_drug,1,dental injections,positive,weak,no
irr-pilot-385,hmfpv9j,no_ai_drug_random,0,,,,no
irr-pilot-386,hjojmub,ai_found_drug,1,h2 anti-histamine,positive,moderate,no
irr-pilot-387,hkt3k1b,ai_found_drug,5,balance one probiotics|just thrive probiotics|h2 blocker|claritin|antihistamine,positive|positive|positive|positive|positive,weak|moderate|strong|strong|strong,yes
irr-pilot-388,hpbsfg2,ai_found_drug,1,supplements,positive,moderate,no
irr-pilot-389,hq8hwr9,ai_found_drug,1,electrolytes,positive,moderate,no
irr-pilot-390,hlcxk7i,ai_found_drug,1,pfizer,negative,weak,yes
irr-pilot-391,hmqibrm,ai_found_drug,1,peptides,positive,strong,no
irr-pilot-392,hn4udmw,ai_found_drug,1,vaccine,positive,strong,no
irr-pilot-393,hqixi7v,ai_found_drug,1,liquid electrolytes,positive,weak,no
irr-pilot-394,hmjr2fh,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-395,hprhi8m,ai_found_drug,3,coconut oil|vitamin k2|vitamin d3,positive|positive|positive,strong|strong|strong,no
irr-pilot-396,hmhj2zx,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-397,hpw5rus,no_ai_drug_random,0,,,,no
irr-pilot-398,ho27uq8,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-399,hl5ew8y,ai_found_drug,3,alvesco|steroid|albuterol,positive|positive|positive,moderate|moderate|weak,yes
irr-pilot-400,hq7gu7i,no_ai_drug_random,0,,,,no
irr-pilot-401,hkow4pa,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-402,hocyifl,ai_found_drug,1,vaccine,negative,strong,no
irr-pilot-403,hp6ctia,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-404,hlfoko5,ai_found_drug,5,rutin|monolaurin|quercetin|supplements|valtrex,negative|positive|positive|negative|negative,strong|weak|weak|moderate|moderate,yes
irr-pilot-405,hl62qco,ai_found_drug,2,snri|ssri,negative|negative,strong|strong,yes
irr-pilot-406,hmqauqr,no_ai_drug_random,0,,,,no
irr-pilot-407,holdnce,ai_found_drug,1,serenagen,positive,strong,no
irr-pilot-408,hpbcpkp,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-409,hk7ui7q,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-410,hn9jh1t,ai_found_drug,1,beta blockers,positive,strong,yes
irr-pilot-411,hoaahvu,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-412,hpba4e7,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-413,hjeckde,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-414,hlci3nz,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-415,hm4ipa5,ai_found_drug,1,cetirizine,positive,strong,yes
irr-pilot-416,hoi4q64,ai_found_drug,1,magnesium,positive,weak,yes
irr-pilot-417,hp0x3a2,ai_found_drug,5,collagen|vitamin d|probiotics|fish oil|magnesium,positive|positive|positive|positive|positive,weak|weak|weak|weak|weak,yes
irr-pilot-418,hkg6sog,ai_found_drug,1,azithromycin,positive,strong,yes
irr-pilot-419,hngadqf,ai_found_drug,4,stinging nettle|moringa|quercetin|cetirizine,positive|positive|positive|negative,weak|weak|weak|moderate,no
irr-pilot-420,hpv27yt,no_ai_drug_random,0,,,,no
irr-pilot-421,hngvcrt,no_ai_drug_random,0,,,,no
irr-pilot-422,r6ndi0,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-423,hksku4t,no_ai_drug_random,0,,,,no
irr-pilot-424,hmz6akb,ai_found_drug,2,vitamins|supplements,positive|positive,weak|weak,yes
irr-pilot-425,hneaqrz,ai_found_drug,1,gaba,positive,strong,yes
irr-pilot-426,hjv7j8m,ai_found_drug,1,pfizer,negative,strong,yes
irr-pilot-427,hlj59e6,no_ai_drug_random,0,,,,no
irr-pilot-428,hmbt5hd,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-429,hncgad4,ai_found_drug,1,flccc regimen,positive,strong,no
irr-pilot-430,hpry0zn,ai_found_drug,1,fluconazole,negative,strong,yes
irr-pilot-431,hmcxx2c,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-432,hka2izf,ai_found_drug,2,dip|cigarettes,negative|mixed,moderate|strong,no
irr-pilot-433,hjivpjn,ai_found_drug,1,aspirin,positive,weak,yes
irr-pilot-434,hmta1ra,ai_found_drug,1,pfizer vaccine,positive,moderate,yes
irr-pilot-435,ho1ejye,no_ai_drug_random,0,,,,no
irr-pilot-436,hmgo2xs,ai_found_drug,1,prednisone,positive,strong,yes
irr-pilot-437,ho234n8,ai_found_drug,1,uppers,positive,strong,yes
irr-pilot-438,hjg907n,ai_found_drug,1,wellbutrin,positive,moderate,yes
irr-pilot-439,hkxby00,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-440,hnhar1a,ai_found_drug,3,naproxen|nsaids|ibuprofen,positive|positive|positive,weak|weak|weak,yes
irr-pilot-441,hpzcjfo,ai_found_drug,1,vitamin d,positive,strong,yes
irr-pilot-442,hqqms0f,ai_found_drug,1,vaccine,negative,strong,no
irr-pilot-443,hlfls1b,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-444,hmcv8y7,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-445,hn9xocy,ai_found_drug,2,bilberry|quercetin,positive|positive,weak|weak,yes
irr-pilot-446,hoojkjo,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-447,hk5fkcd,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-448,hiyc00y,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-449,hkm1pid,ai_found_drug,1,vaccine,negative,strong,no
irr-pilot-450,hj8ytdh,ai_found_drug,1,supplements,positive,weak,no
irr-pilot-451,hqg3ckn,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-452,hp8h88a,ai_found_drug,1,caffeine,negative,strong,yes
irr-pilot-453,hpq85j6,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-454,hlk5vuk,ai_found_drug,1,parasym plus,positive,moderate,yes
irr-pilot-455,hobypwe,ai_found_drug,3,branched chain amino acids|bcaas|gaba,positive|mixed|positive,weak|weak|strong,yes
irr-pilot-456,hpruj0k,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-457,hlbytfd,ai_found_drug,1,lexapro,negative,weak,yes
irr-pilot-458,hjodzdg,ai_found_drug,3,iv|glutathione|vitamin c,negative|negative|negative,strong|moderate|strong,yes
irr-pilot-459,hjbywx8,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-460,r6t42l,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-461,hk5jfzr,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-462,hjclk5i,ai_found_drug,2,flu shot|vaccine,negative|negative,strong|strong,no
irr-pilot-463,hq749zc,ai_found_drug,1,nac,mixed,weak,yes
irr-pilot-464,hnbsyfe,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-465,rq76bi,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-466,hoxxmwe,no_ai_drug_random,0,,,,no
irr-pilot-467,hlut1yb,ai_found_drug,1,flu shot,negative,strong,yes
irr-pilot-468,hq3ujbh,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-469,hjguhs3,ai_found_drug,2,pravastatin|coq10,positive|positive,strong|weak,yes
irr-pilot-470,houqr5z,ai_found_drug,1,150mg a day,mixed,strong,yes
irr-pilot-471,hqhf0b5,ai_found_drug,1,magnesium,positive,moderate,yes
irr-pilot-472,hq0p2g5,ai_found_drug,2,astrazeneca vaccine|pfizer vaccine,positive|positive,weak|weak,no
irr-pilot-473,hn3r2ig,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-474,hp2jduu,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-475,hj2rql3,ai_found_drug,1,vitamin d,positive,strong,yes
irr-pilot-476,hnk3iwf,ai_found_drug,1,supplements,positive,strong,no
irr-pilot-477,hl7dlb6,no_ai_drug_random,0,,,,no
irr-pilot-478,hk2slq6,no_ai_drug_random,0,,,,no
irr-pilot-479,hpk0fkx,ai_found_drug,2,diuretic|magnesium,negative|positive,strong|strong,yes
irr-pilot-480,hqi088w,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-481,hkqj03a,ai_found_drug,2,cetirizine|antihistamine,positive|positive,strong|strong,yes
irr-pilot-482,hog0w9z,no_ai_drug_random,0,,,,no
irr-pilot-483,hjaxgk0,no_ai_drug_random,0,,,,no
irr-pilot-484,ho6ck1j,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-485,hqo84zr,no_ai_drug_random,0,,,,no
irr-pilot-486,hor2beq,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-487,hlp4kos,ai_found_drug,2,meds|supplements,negative|negative,strong|strong,yes
irr-pilot-488,hjngy3y,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-489,hmtbc4s,ai_found_drug,2,h1 blocker|h2 blocker,positive|positive,weak|weak,yes
irr-pilot-490,hq5b19u,no_ai_drug_random,0,,,,no
irr-pilot-491,hkvmj0x,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-492,hlcjmrs,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-493,hoxx51v,ai_found_drug,1,pfizer,negative,strong,yes
irr-pilot-494,hjzqezg,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-495,hpa1h6p,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-496,hnrbnu8,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-497,hpfi08n,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-498,hpurneb,no_ai_drug_random,0,,,,no
irr-pilot-499,hqhzth9,no_ai_drug_random,0,,,,no
irr-pilot-500,ho96tv4,ai_found_drug,1,brivudine,positive,strong,no
